answer,clue
BINNUI,"Levite sealer (Nehemiah 10:9)"
BIRSHA,"King of Gomorrah (Genesis 14:2)"
BIRZAVITH,"City? (1 Chronicles 7:31)"
BISHAM,"Son of Shaharaim (1 Chronicles 8:8? error)"
BIZTHA,"Eunuch (Esther 1:10)"
BLastus,"Chamberlain of Herod (Acts 12:20)"
BOANERGES,"Sons of thunder (Mark 3:17)"
BOAZ,"Pillar in temple (1 Kings 7:21)"
BOCHERU,"Son of Azel (1 Chronicles 8:38)"
BOCHIM,"Place of weepers (Judges 2:1)"
BOHAN,"Stone of (Joshua 15:6)"
BOOZ,"Boaz in NT (Matthew 1:5)"
BOZRAH,"Edomite capital (Genesis 36:33)"
BUKKI,"Prince of Dan (Numbers 34:22)"
BUKKIAH,"Musician (1 Chronicles 25:4)"
BUL,"Eighth month (1 Kings 6:38)"
BUNAH,"Son of Jerahmeel (1 Chronicles 2:25)"
BUNNI,"Levite (Nehemiah 9:4)"
BUZ,"Son of Nahor (Genesis 22:21)"
BUZI,"Father of Ezekiel (Ezekiel 1:3)"
BUZITE,"Elihu's family (Job 32:2)"
CAIAPHAS,"High priest who prophesied (John 11:49)"
CALAH,"Assyrian city (Genesis 10:11)"
CALCOL,"Wise man less than Solomon (1 Kings 4:31)"
CALEBEPHRATHAH,"Same as Caleb (1 Chronicles 2:24? error)"
CALNO,"City like Carchemish (Isaiah 10:9)"
CALVARY,"Latin for Golgotha (Luke 23:33 KJV)"
CAMON,"Burial of Jair (Judges 10:5)"
CANAAN,"Promised land (Genesis 12:5)"
CANANAEAN,"Simon the (Matthew 10:4)"
CANDACE,"Queen of Ethiopians (Acts 8:27)"
CANNEH,"Trading city (Ezekiel 27:23)"
CAPHTOR,"Origin of Philistines (Amos 9:7)"
CAPPADOCIA,"Peter's Pentecost (Acts 2:9)"
CARCA,"City in Ziph (Joshua 15:3? error for Carcas)"
CARCAS,"Eunuch (Esther 1:10)"
CARCHEMISH,"Battle site (2 Chronicles 35:20)"
CAREAH,"Father of Johanan (2 Kings 25:23)"
CARMEL,"Mount of Elijah's contest (1 Kings 18:19)"
CARMI,"Son of Reuben (Genesis 46:9)"
CARPUS,"Host at Troas (2 Timothy 4:13)"
CARSHENA,"Persian prince (Esther 1:14)"
CASHLEPHUM,"Alternate of Calph (Joshua 15: error?)"
CASIPHIA,"Place of Levites (Ezra 8:17)"
CASLUHIM,"Origin of Philistines (Genesis 10:14)"
CEPHAS,"Aramaic for Peter (John 1:42)"
CHALCOL,"Same as Calcol (1 Chronicles 2:6)"
CHALDEA,"Land of wise men (Daniel 2:2)"
CHALDEANS,"People of Babylon (Jeremiah 50:10)"
CHEDORLAOMER,"King of Elam (Genesis 14:1)"
CHELAL,"Divorcee (Ezra 10:30)"
CHELLUH,"Same (Ezra 10:35)"
CHELUB,"Father of Mehir (1 Chronicles 4:11)"
CHELUBAI,"Caleb alternate (1 Chronicles 2:9)"
CHEMOSH,"Moabite god (Numbers 21:29)"
CHENANIAH,"Levite musician (1 Chronicles 15:22)"
CHERAN,"Horite chief (Genesis 36:26)"
CHERETHITES,"Philistine guards (2 Samuel 8:18)"
CHERITH,"Brook of Elijah (1 Kings 17:3)"
CHERUB,"City near Babylon (Ezra 2:59)"
CHESALON,"Mount Jearim (Joshua 15:10)"
CHESED,"Son of Nahor (Genesis 22:22)"
CHESIL,"City in south (Joshua 15:30)"
CHESULLOTH,"City in Issachar (Joshua 19:18)"
CHETH,"Letter in Psalm 119"
CHEZIB,"Birthplace lie (Genesis 38:5)"
CHILEAB,"Son of David (2 Samuel 3:3)"
CHILMAD,"Trading ally (Ezekiel 27:23)"
CHIMHAM,"Son of Barzillai (2 Samuel 19:37)"
CHINNERETH,"Sea of Galilee (Numbers 34:11)"
CHIOS,"Island passed (Acts 20:15)"
CHISLEU,"Ninth month (Nehemiah 1:1)"
CHISLON,"Father of Elidad (Numbers 34:21)"
CHITTIM,"Cyprus (Numbers 24:24)"
CHIUN,"Star god (Amos 5:26)"
CHLOE,"House informed Paul (1 Corinthians 1:11)"
CHUSHANRISHATHAIM,"Mesopotamian king (Judges 3:8)"
CHUZA,"Herod's steward (Luke 8:3)"
CILICIA,"Paul's province (Acts 21:39)"
CINNAMON,"Spice in song (Song 4:14)"
CIS,"Same as Kish (Acts 13:21 KJV error)"
CLAUDA,"Island near shipwreck (Acts 27:16)"
CLAUDIA,"Christian woman (2 Timothy 4:21)"
CLAUDIUS,"Emperor who expelled Jews (Acts 18:2)"
CLEMENT,"Philippians fellow worker (Philippians 4:3)"
CLEOPAS,"Emmaus disciple (Luke 24:18)"
CNIDUS,"Port passed (Acts 27:7)"
COLHOZEH,"Father of Shallun (Nehemiah 3:15)"
COLOSSE,"Church of epistle (Colossians 1:2)"
CONANIAH,"Levite in Hezekiah (2 Chronicles 31:12)"
CONIAH,"Jeconiah short (Jeremiah 22:24)"
COOS,"Island of Hippocrates (Acts 21:1)"
CORINTHIANS,"Paul's epistles to"
COSAM,"In Luke's genealogy (Luke 3:28)"
COZBI,"Midianite woman (Numbers 25:15)"
CRESCENS,"Sent to Galatia (2 Timothy 4:10)"
CRETANS,"Always liars (Titus 1:12)"
CRETE,"Island of Paul's ship (Acts 27:7)"
CRISPUS,"Corinth baptizee (Acts 18:8)"
CUSHAN,"Same as Chushan (Habakkuk 3:7 error?)"
CUTH,"Cuthah, Assyrian origin (2 Kings 17:24)"
CYRENE,"Simon bearer of cross (Matthew 27:32)"
CYRUS,"Anointed conqueror (Isaiah 45:1)"
DADDEUS,"Thaddaeus alternate? (error)"
DALAIAH,"Son of Mehetabeel (1 Chronicles 3:24)"
DALMANUTHA,"Near Magdala (Mark 8:10)"
DALMATIA,"Titus went (2 Timothy 4:10)"
DALPHaim,"Error for Dalphon?"
DALPHON,"Son of Haman (Esther 9:7)"
DAMARIS,"Areopagus convert (Acts 17:34)"
DANIEL,"Belteshazzar (Daniel 1:7)"
DANJAAN,"City in north (2 Samuel 24:6)"
DARA,"Son of Zerah (1 Chronicles 2:6)"
DARDA,"Wise man (1 Kings 4:31)"
DARIUS,"Mede who took kingdom (Daniel 5:31)"
DARKON,"Nethinim (Ezra 2:56)"
DATHAN,"Rebel swallowed (Numbers 16:1)"
DEBORAH,"Rebekah's nurse (Genesis 35:8)"
DEDAN,"Son of Jokshan (Genesis 25:3)"
DEKAR,"Solomon's officer (1 Kings 4:9)"
DELIAH,"Delilah alternate (error)"
DEMAS,"Forsook Paul (2 Timothy 4:10)"
DEMETRIUS,"Ephesian silversmith (Acts 19:24)"
DERBE,"City of Gaius (Acts 20:4)"
DEUEL,"Father of Eliasaph (Numbers 1:14)"
DIBLAH,"Boundary city (Ezekiel 6:14)"
DIBON,"Moabite city (Numbers 21:30)"
DIBONGAD,"Reuben (Numbers 33:45)"
DIBRI,"Danite father (Leviticus 24:11)"
DIDYMUS,"Thomas twin (John 11:16)"
DIKLAH,"Son of Joktan (Genesis 10:27)"
DILEAN,"City in Judah (Joshua 15:38)"
DILL,"Spice tithed (Matthew 23:23)"
DIONYSIUS,"Areopagus convert (Acts 17:34)"
DIOTREPHES,"Loved preeminence (3 John 1:9)"
DISHAN,"Horite chief (Genesis 36:21)"
DISHON,"Same (Genesis 36:21)"
DIZAHAB,"Gold abundance (Deuteronomy 1:1)"
DODAI,"Ahohite captain (1 Chronicles 27:4)"
DODANIM,"Son of Javan (Genesis 10:4)"
DODAVAH,"Father of Eliezer (2 Chronicles 20:37)"
DODO,"Father of Eleazar (2 Samuel 23:9)"
DOEG,"Edomite who slew priests (1 Samuel 21:7)"
DOPHKAH,"Camp after wilderness (Numbers 33:12)"
DOR,"Canaanite king city (Joshua 11:2)"
DORCAS,"Same as Tabitha (Acts 9:36)"
DOTHAN,"Where Joseph found (Genesis 37:17)"
DRUSILLA,"Wife of Felix (Acts 24:24)"
DUMAH,"Son of Ishmael (Genesis 25:14)"
DURA,"Plain of image (Daniel 3:1)"
EAGLE,"Bird of renewal (Isaiah 40:31)"
EBAL,"Mount of curse (Deuteronomy 11:29)"
EBED,"Father of Gaal (Judges 9:26)"
EBENEZER,"Stone of help (1 Samuel 7:12)"
EBER,"Ancestor of Hebrews (Genesis 10:21)"
EBIASAPH,"Levite (1 Chronicles 6:23)"
ECBATANA,"Persian city (Ezra 6:2 KJV Achmetha)"
ED,"Witness heap (Joshua 22:34 KJV error for Ed?)"
EDEN,"Garden home (Genesis 2:8)"
EDER,"Tower of flock (Genesis 35:21)"
EDOMITES,"Descendants of Esau (Genesis 36:9)"
EGLAH,"Wife of David (2 Samuel 3:5)"
EGLAIM,"Moab city (Isaiah 15:8)"
EGLON,"Fat king killed (Judges 3:17)"
EGYPTIANS,"People of plagues (Exodus 1:13)"
EHUD,"Left-handed judge (Judges 3:15)"
EKER,"Son of Ram (1 Chronicles 2:27)"
EKERON,"Same as Ekron (error)"
ELADAH,"Son of Ephraim (1 Chronicles 7:20)"
ELAH,"Valley of giant (1 Samuel 17:2)"
ELAM,"Son of Shem (Genesis 10:22)"
ELASAH,"Son of Shaphan (Jeremiah 29:3)"
ELATH,"Port city (Deuteronomy 2:8)"
ELBETHEL,"God of Bethel (Genesis 35:7)"
ELDAD,"Prophesied in camp (Numbers 11:26)"
ELDER,"Church leader (1 Timothy 5:17)"
ELEAD,"Killed by Gath men (1 Chronicles 7:21)"
ELEALEH,"Moab city (Numbers 32:37)"
ELEASAH,"Son of Rapha (1 Chronicles 2:39)"
ELEAZAR,"Third son of Aaron (Exodus 6:23)"
ELHANAN,"Slayer of Lahmi (2 Samuel 21:19)"
ELIAB,"Brother of David (1 Samuel 16:6)"
ELIADA,"Son of David (2 Samuel 5:16)"
ELIADAH,"Same? (1 Chronicles 3:8 error)"
ELIAH,"Son of Jeroham (1 Chronicles 9: error? Elihu)"
ELIAHBA,"Mighty man (2 Samuel 23:32)"
ELIAKIM,"Son of Hilkiah (2 Kings 18:18)"
ELIAM,"Father of Bathsheba (2 Samuel 11:3)"
ELIANA,"Daughter? (error for Eliada?)"
ELIAS,"Greek for Elijah (Matthew 11:14)"
ELIASAPH,"Son of Deuel (Numbers 1:14)"
ELIASHIB,"High priest (Nehemiah 3:1)"
ELIATHAH,"Musician (1 Chronicles 25:4)"
