answer,clue
LAMENTATION,Book of poems mourning the fall of Jerusalem
EZEKIEL,Prophet who saw visions by the river Chebar
DANIEL,Prophet who interpreted dreams in Babylon
SHADRACH,One of three Hebrews in the fiery furnace
MESHACH,Companion of Shadrach who survived the furnace
ABEDNEGO,Third companion who survived with them
NEBUCHADNEZZAR,King who saw the handwriting on the wall
BELSHAZZAR,Last king of Babylon who was killed that night
DARIUS,Mede who took over the kingdom after Babylon fell
CYRUS,Persian king who allowed the Jews to return
ZERUBBABEL,Leader who returned to rebuild the temple
JESHUA,High priest who returned with Zerubbabel
HAGGAI,Prophet who encouraged rebuilding the temple
ZECHARIAH,Prophet who saw visions about the temple's completion
MALACHI,Last prophet who spoke of the coming messenger
JOHNTHEBAPTIST,Forerunner who prepared the way for Christ
JESUS,Savior born in Bethlehem to Mary and Joseph
MARY,Virgin mother who conceived by the Holy Spirit
JOSEPH,Carpenter who was Jesus' earthly father
SHEPHERDS,First to hear the angels announce Jesus' birth
MAGI,Wise men who followed the star from the East
HEROD,King who ordered the massacre of infants
BETHLEHEM,City of David where the Messiah was born
NAZARETH,Town where Jesus grew up in obscurity
JORDAN,River where Jesus was baptized by John
WILDERNESS,Place where Jesus was tempted for forty days
CAPERNAUM,City that became the center of Jesus' ministry
DISCIPLES,Twelve men chosen to be with Jesus
PETER,Disciple who walked on water but then sank
ANDREW,Peter's brother who brought him to Jesus
JAMES,Son of Zebedee and brother of John
JOHN,Beloved disciple who reclined next to Jesus at supper
PHILIP,Disciple who questioned how to feed the five thousand
BARTHOLOMEW,Also called Nathanael who had no deceit
THOMAS,Disciple who doubted until he saw the risen Christ
MATTHEW,Tax collector who became an apostle
JAMES SON OF ALPHAEUS,Also called James the Less
SIMON THE ZEALOT,Disciple who had been a political revolutionary
JUDAS ISCARIOT,Disciple who betrayed Jesus for thirty pieces of silver
MATTHIAS,Chosen to replace Judas after his betrayal
SERMONONTHEMOUNT,Jesus' famous teaching on a hillside
BEATITUDES,Blessings pronounced by Jesus in his sermon
LORDSPRAYER,Model prayer taught by Jesus to his disciples
PARABLES,Stories Jesus used to teach spiritual truths
PRODIGALSON,Parable about a father's love for his wayward child
GOODSAMARITAN,Parable about helping those in need
SOWER,Parable about different responses to God's word
MUSTARDSEED,Parable about faith growing from small beginnings
TALENTS,Parable about using God-given abilities
VIRGINS,Parable about being ready for the bridegroom
GOOD SHEPHERD,Jesus' description of himself who lays down his life
MIRACLES,Signs Jesus performed to show his divine power
WATERINTOWINE,Jesus' first miracle at a wedding in Cana
BLINDMAN,Whom Jesus healed with mud made from spit
PARALYTIC,Man let down through the roof to be healed
LEPER,Whom Jesus touched and made clean
CENTURION,Whose servant Jesus healed from a distance
WIDOW,Whose son Jesus raised from the dead at Nain
JAIRUS,Synagogue ruler whose daughter Jesus raised
FIVETHOUSAND,Number fed with five loaves and two fish
FOURTHOUSAND,Number fed with seven loaves and a few fish
WALKINGONWATER,Miracle when Peter briefly joined Jesus
CALMINGTHESTORM,When Jesus said Peace be still
FIGTREE,That withered when Jesus cursed it
DEMONIAC,Man from Gadara freed from a legion of demons
TRANSFIGURATION,When Jesus' glory was revealed to three disciples
MOUNT OF OLIVES,Where Jesus often went to pray
GARDEN,Where Jesus prayed and was arrested
GETHSEMANE,Specific garden where Jesus agonized
BETRAYAL,When Judas identified Jesus with a kiss
PETER,Dicipled who denied Jesus three times
PILATE,Roman governor who sentenced Jesus though finding no fault
CRUCIFIXION,Method of Jesus' execution on a cross
GOLGOTHA,Place of the skull where Jesus was crucified
THIEVES,Two men crucified alongside Jesus
DARKNESS,That covered the land from noon to three
TEMPLE,Where the veil was torn from top to bottom
RESURRECTION,Jesus' rising from the dead on the third day
EMPTYTOMB,What Mary Magdalene discovered early Sunday morning
APPEARANCES,When Jesus showed himself alive to his followers
ASCENSION,When Jesus returned to heaven forty days later
PENTECOST,When the Holy Spirit came upon the disciples
TONGUES,Languages spoken by disciples at Pentecost
THREETHOUSAND,Number converted on the day of Pentecost
STEPHEN,First Christian martyr stoned to death
SAUL,Pharisee who persecuted Christians before his conversion
DAMASCUS,Where Saul was going when he met Jesus
ANANIAS,Man sent to heal Saul's blindness
PAUL,Apostle to the Gentiles who wrote many letters
BARNABAS,Companion who introduced Paul to the apostles
SILAS,Paul's companion imprisoned with him at Philippi
TIMOTHY,Young man Paul mentored in ministry
TITUS,Gentile companion who helped organize churches
PHILEMON,Master to whom Paul wrote about his runaway slave
ONESIMUS,Runaway slave who became a Christian
EPAPHRODITUS,Who brought Paul's letter to the Philippians
PRISCILLA,Woman who taught Apollos with her husband Aquila
AQUILA,Husband who worked with Paul as a tentmaker
LYDIA,Seller of purple cloth converted at Philippi
CORNELIUS,Roman centurion first Gentile convert
PETER,Apostle who received the vision about clean and unclean foods
ANTIOCH,City where believers were first called Christians
MISSIONARY,Paul's journeys to preach the gospel
JERUSALEM COUNCIL,Meeting about Gentiles keeping the law
CIRCUMCISION,Issue debated at the Jerusalem council
GALATIA,Region where Paul wrote about Christian freedom
CORINTH,City where Paul stayed eighteen months
EPHESUS,City where Paul ministered for three years
COLOSSAE,City that received a letter about Christ's supremacy
THESSALONICA,City that received two letters about Christ's return
PHILIPPI,City where Paul was imprisoned
ROME,Where Paul wrote letters while under house arrest
COLOSSEUM,Where many Christians were martyred
NERO,Emperor who persecuted Christians after the great fire
REVELATION,Book about future events given to John on Patmos
SEVEN CHURCHES,Congregations addressed in Revelation
APOCALYPSE,Another name for the book of Revelation
BEAST,Symbol of evil governmental power in Revelation
DRAGON,Symbol of Satan in Revelation
BABYLON,Symbol of corrupt religious and political systems
MARK,Sign of allegiance to the beast
TRUMPETS,Seven judgments announced in Revelation
BOWLS,Seven final judgments poured out in Revelation
MILLENNIUM,Thousand-year reign of Christ on earth
NEW JERUSALEM,Perfect city that comes down from heaven
TREE OF LIFE,In the New Jerusalem for healing of nations
ALPHA AND OMEGA,Title of Jesus meaning beginning and end
LORD'S DAY,When John received his vision on Patmos
FAITH,Confidence in what we hope for and assurance about what we do not see
HOPE,Confidence in God's promises for the future
LOVE,Greatest of all virtues that never fails
GRACE,God's unmerited favor toward sinners
MERCY,God's compassion and forgiveness toward those in need
PEACE,Inner calm that comes from knowing God
JOY,Deep gladness that comes from God's presence
PATIENCE,Ability to wait without complaining
KINDNESS,Showing consideration and care for others
GOODNESS,Moral excellence and virtue
FAITHFULNESS,Being reliable and trustworthy
GENTLENESS,Showing humility and consideration
SELF-CONTROL,Ability to restrain one's impulses and desires
SALVATION,Deliverance from sin and its consequences
REDEMPTION,Being bought back from slavery to sin
JUSTIFICATION,Being declared righteous by God
SANCTIFICATION,Process of becoming more like Christ
GLORIFICATION,Final state of being with Christ forever
ADOPTION,Becoming part of God's family
REGENERATION,New birth by the Holy Spirit
CONVERSION,Turning from sin to God
REPENTANCE,Turning away from sin with sorrow
CONFESSION,Acknowledging one's sins to God
FORGIVENESS,God's pardon of our sins
CLEANSING,Being made pure from sin
HEALING,Restoration of body or soul
DELIVERANCE,Being set free from bondage
PROTECTION,Being kept safe from harm
PROVISION,God's supply of our needs
GUIDANCE,Divine direction for our lives
WISDOM,Ability to apply knowledge rightly
UNDERSTANDING,Insight into God's truth
KNOWLEDGE,Information about God and His ways
DISCERNMENT,Ability to distinguish right from wrong
COUNSEL,Advice given by the Holy Spirit
MIGHT,Strength that comes from God
FEAR OF THE LORD,Beginning of wisdom
HUMILITY,Recognition of our dependence on God
OBEDIENCE,Doing what God commands
SUBMISSION,Yielding to God's authority
TRUST,Depending on God completely
DEPENDENCE,Relying on God rather than ourselves
WAITING,Patiently expecting God's timing
RESTING,Trusting God to work on our behalf
WORSHIP,Showing reverence and adoration to God
PRAISE,Expressing admiration and thanks to God
THANKSGIVING,Gratitude expressed to God
PRAYER,Communication with God
INTERCESSION,Praying on behalf of others
PETITION,Asking God for specific needs
SUPPLICATION,Humble petition to God
CONFESSION,Admitting our sins to God
MEDITATION,Thinking deeply about God's word
STUDY,Learning from God's word
MEMORIZATION,Hiding God's word in our heart
APPLICATION,Putting God's word into practice
OBEDIENCE,Doing what God's word says
SUBMISSION,Yielding to God's word
TRANSFORMATION,Being changed by God's word
RENEWAL,Being made new by God's Spirit
REVival,Spiritual awakening and renewal
REFORMATION,Return to biblical truth and practice
RESTORATION,Being brought back to original condition
RECONCILIATION,Being brought back into relationship
UNITY,Oneness among believers
HARMONY,Agreement and cooperation
FELLOWSHIP,Sharing life together as believers
COMMUNION,Sharing in the body and blood of Christ
PARTNERSHIP,Working together for God's kingdom
COOPERATION,Working together harmoniously
SERVANTHOOD,Humility in serving others
MINISTRY,Service done for God and others
LEADERSHIP,Guiding others according to God's will
SHEPHERDING,Caring for God's people
TEACHING,Instructing others in God's truth
PREACHING,Proclaiming God's message
EVANGELISM,Sharing the good news of Jesus
DISCIPLESHIP,Training others to follow Christ
MENTORING,Guiding others in spiritual growth
COUNSELING,Providing biblical guidance
COMFORTING,Bringing God's comfort to others
ENCOURAGING,Building others up in faith
EXHORTING,Urging others to live for God
ADMONISHING,Warning others about sin
CORRECTING,Pointing out error with love
REPROVING,Showing others their wrong
REBUKE,Strong correction for sin
DISCIPLINE,Training that corrects and teaches
TRAINING,Instruction that develops character
INSTRUCTION,Teaching that provides direction
EDUCATION,Learning that builds knowledge
EQUIPPING,Providing tools for ministry
EMPOWERING,Giving authority and ability
COMMISSIONING,Sending with authority and purpose
SENDING,Going forth to do God's work
GOING,Moving forward in obedience
WALKING,Living in a manner pleasing to God
RUNNING,Pursuing God with energy and determination
STANDING,Firm in faith against opposition
FIGHTING,Battling against spiritual enemies
WRESTLING,Struggling in prayer and spiritual warfare
STRIVING,Making every effort to obey God
LABORING,Working hard for the kingdom
TOILING,Working with great effort
SERVING,Meeting the needs of others
GIVING,Sharing resources generously
SACRIFICING,Giving up personal interests for God
DENYING,Refusing self to follow Christ
TAKING UP,Accepting the cross daily
LOSING,Life for Christ's sake to find it
COUNTING THE COST,Considering what following Christ requires
BEARING,Burdens for others and for Christ
CARRYING,The cross that Christ assigns
SHARING,In Christ's sufferings
PARTAKING,Participating in Christ's mission
FILLING UP,Completing what is lacking in Christ's afflictions
SUFFERING,With Christ for righteousness' sake
REJOICING,In suffering for Christ's name
GLORYING,Boasting in the cross of Christ
TRIUMPHING,Overcoming through Christ
OVERCOMING,Conquering by faith
CONQUERING,Gaining victory through Christ
VICTORY,That comes through our Lord Jesus Christ
MORE THAN CONQUERORS,Through him who loved us
REIGNING,With Christ in his kingdom
RULING,With authority from Christ
JUDGING,With Christ in the final judgment
REWARD,Given to faithful servants
CROWN,Of righteousness laid up for believers
INHERITANCE,Kept in heaven for us
TREASURE,Stored up in heaven where moth doesn't destroy
PRIZE,Of the upward call of God in Christ
GOAL,Of knowing Christ and being found in him
PURPOSE,For which Christ has called us
DESTINY,To be conformed to Christ's image
HOPE,Of eternal life with Christ
CONFIDENCE,That we will be with the Lord forever
ASSURANCE,Of salvation through Christ
SECURITY,In Christ who holds us fast
PERSEVERANCE,Continuing in faith to the end
ENDURANCE,Remaining faithful under trial
STEADFASTNESS,Firmness in faith and love
FAITHFULNESS,Being true to Christ to the end
COMMITMENT,Total dedication to Christ
DEVOTION,Wholehearted love for God
ZEAL,Enthusiastic devotion to God's cause
PASSION,Intense desire for God's glory
FERVOR,Ardent spirit in serving God
ENTHUSIASM,Eager willingness to serve
DILIGENCE,Steady application in serving God
EARNESTNESS,Sincere and serious commitment
SERIOUSNESS,Grave and thoughtful dedication
RESOLVE,Firm determination to obey God
DETERMINATION,Fixed purpose to follow Christ
DECISION,Definite choice to serve God
CHOICE,Free will selection of God's way
WILL,Volitional faculty submitted to God
MIND,Mental faculty renewed by God's truth
HEART,Inner being devoted to God
SOUL,Immortal part of humans made alive by God
SPIRIT,Inner person united with God's Spirit
CONSCIENCE,Moral awareness cleansed by Christ
AFFECTIONS,Emotions centered on God
DESIRES,Longings directed toward God
WILL,Volition aligned with God's purposes
EMOTIONS,Feelings transformed by God's love
THOUGHTS,Ideas brought into captivity to Christ
IMAGINATION,Mental pictures submitted to God
REASON,Intellectual capacity submitted to Christ
MEMORY,Recollection of God's goodness and faithfulness
CONSCIOUSNESS,Awareness of God's presence and reality
